component,code,short_name,full_name,Source,Provider
political,ODB.2013.I.GOV,Efficiency Impact,To what extent has open data had a noticeable impact on increasing government efficiency and effectiveness?,ODB Expert Survey 2014,Web Foundation
political,ODB.2013.I.ACCOUNT,Accountability Impact,To what extent has open data had a noticeable impact on increasing transparency and accountability in the country?,ODB Expert Survey 2014,Web Foundation
social,ODB.2013.I.ENV,Environmental Impact,To what extent has open data had a noticeable impact on environmental sustainability in the country?,ODB Expert Survey 2014,Web Foundation
social,ODB.2013.I.INC,Inclusion Impact,To what extent has open data had a noticeable impact on increasing the inclusion of marginalised groups in policy making and accessing government services?,ODB Expert Survey 2014,Web Foundation
economic,ODB.2013.I.ECON,Economic Impact,To what extent has open data had a noticeable positive impact on the economy?,ODB Expert Survey 2014,Web Foundation
economic,ODB.2013.I.ENTR,Entrepreneurs Impact,To what extent are entrepreneurs successfully using open data to build new businesses in the country?,ODB Expert Survey 2014,Web Foundation
metadata,Country,Country,,,
metadata,Region,Region,,,
calculated,Readiness,Readiness,,,
calculated,Readiness-Scaled,Readiness (Scaled),,,
calculated,Readiness_Government-Scaled,Government Readiness (Scaled),,,
calculated,Readiness_Citizens-Scaled,Civil Society Readiness (Scaled),,,
calculated,Readiness_Entrepreneurs-Scaled,Entrepreneurs Readiness (Scaled),,,
calculated,Readiness_Entrepreneurs,Entrepreneurs Readiness,,,
calculated,Datasets_Society,Social Policy Datasets,,,
calculated,Datasets_Normalised,Datasets (Normalised),,,
calculated,Implementation-Rank,Implementation Rank,,,
calculated,Impact_Social,Social Impact,,,
calculated,Impact_Economic-Scaled,Economic Impact (Scaled),,,
calculated,Impact-Rank,Impact Rank,,,
calculated,ODB-Rank,Barometer Rank,,,
calculated,Change,Change,,,
calculated,Cluster_label,Cluster,,,
calculated,GDP.Per.Capita.Current.USD,GDP Per Capita,,,
calculated,Readiness_Government,Government Readiness,,,
calculated,Datasets_Innovation,Innovation Datasets,,,
calculated,Datasets_Average,Datasets Average,,,
calculated,Implementation-Scaled,Implementation (Scaled),,,
calculated,Impact_Political-Scaled,Political Impact (Scaled),,,
calculated,Impact_Economic,Economic Impact,,,
calculated,Impact-Scaled,Impact (Scaled),,,
calculated,ODB-Scaled,ODB Scaled,,,
calculated,X2013.Scaled.Score,2013 ODB Score (Scaled),,,
calculated,Cluster,Cluster,,,
metadata,HDI.Rank,Human Development Index Rank,,,
metadata,Income,Income Level,,,
calculated,Readiness_Citizens,Civil Society Readiness,,,
calculated,Readiness-Rank,Readiness Rank,,,
calculated,Datasets_Accountability,Accountability Datasets,,,
calculated,Implementation,Implementation,,,
calculated,Impact_Political,Political Impact,,,
calculated,Impact_Social-Scaled,Social Impact (Scaled),,,
calculated,Impact,Impact,,,
calculated,ODB,ODB Score,,,
calculated,X2013.Rank,2013 ODB Rank,,,
calculated,Year,Year,,,
calculated,HDI,Human Development Index,,,
calculated,2013-Rank,2013 Rank,,,
calculated,2013-ODB-Scaled,2013 ODB,,,
calculated,Rank Change,Rank Change,,,
calculated,ODB Change,ODB Change,,,
